response,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.015,0.472,0.317,0.035,0.235,0.894,0.364,0.251,0.802,0.455
13,0.419,0.983,0.285,0.805,0.058,0.498,0.688,0.75,0.399,0.915
11,0.374,0.825,0.534,0.442,0.536,0.312,0.567,0.693,0.958,0.614
6,0.087,0.938,0.783,0.9,0.137,0.321,0.471,0.113,0.081,0.081
13,0.895,0.799,0.947,0.464,0.506,0.367,0.575,0.1,0.421,0.962
15,0.364,0.989,0.62,0.947,0.415,0.586,0.768,0.517,0.587,0.445
13,0.444,0.388,0.603,0.978,0.786,0.129,0.772,0.481,0.589,0.572
11,0.477,0.866,0.96,0.16,0.076,0.272,0.613,0.672,0.157,0.342
1,0.156,0.558,0.142,0.055,0.082,0.572,0.085,0.164,0.339,0.263
3,0.073,0.618,0.885,0.43,0.262,0.012,0.576,0.645,0.022,0.175
6,0.972,0.05,0.062,0.86,0.131,0.094,0.516,0.262,0.831,0.858
7,0.241,0.599,0.949,0.767,0.004,0.261,0.751,0.546,0.142,0.588
2,0.747,0.206,0.821,0.085,0.749,0.479,0.344,0.152,0.189,0.137
6,0.292,0.296,0.179,0.574,0.592,0.481,0.251,0.085,0.489,0.878
7,0.945,0.933,0.534,0.825,0.472,0.864,0.976,0.05,0.988,0.362
13,0.751,0.642,0.192,0.268,0.833,0.994,0.086,0.947,0.447,0.975
6,0.187,0.924,0.706,0.442,0.78,0.295,0.101,0.985,0.774,0.14
7,0.414,0.769,0.36,0.109,0.796,0.552,0.15,0.168,0.22,0.554
4,0.42,0.041,0.446,0.845,0.473,0.544,0.139,0.42,0.595,0.847
6,0.197,0.843,0.793,0.266,0.852,0.728,0.744,0.001,0.559,0.189
6,0.144,0.499,0.931,0.522,0.13,0.232,0.136,0.366,0.785,0.52
0,0.24,0.143,0.575,0.017,0.429,0.872,0.328,0.183,0.73,0.354
9,0.885,0.959,0.928,0.681,0.069,0.836,0.833,0.199,0.523,0.006
0,0.188,0.294,0.426,0.059,0.75,0.465,0.193,0.946,0.763,0.255
6,0.281,0.416,0.628,0.628,0.395,0.257,0.556,0.056,0.636,0.719
9,0.423,0.824,0.291,0.434,0.101,0.115,0.411,0.173,0.586,0.999
14,0.478,0.661,0.034,0.693,0.383,0.729,0.514,0.991,0.783,0.968
11,0.686,0.697,0.586,0.514,0.316,0.558,0.955,0.451,0.696,0.338
6,0.001,0.155,0.587,0.847,0.979,0.981,0.673,0.81,0.614,0.933
1,0.3,0.311,0.295,0.438,0.163,0.463,0.434,0.49,0.427,0.928
12,0.656,0.844,0.684,0.853,0.038,0.107,0.665,0.74,0.907,0.504
9,0.482,0.373,0.839,0.596,0.3,0.096,0.373,0.716,0.07,0.363
6,0.909,0.176,0.616,0.508,0.509,0.81,0.388,0.57,0.792,0.95
15,0.981,0.756,0.959,0.812,0.68,0.24,0.113,0.531,0.924,0.716
8,0.128,0.547,0.001,0.593,0.389,0.246,0.205,0.781,0.875,0.466
2,0.396,0.342,0.471,0.365,0.188,0.202,0.049,0.769,0.413,0.832
3,0.361,0.61,0.676,0.263,0.013,0.663,0.792,0.922,0.698,0.799
14,0.554,0.826,0.297,0.663,0.575,0.105,0.523,0.928,0.846,0.641
9,0.264,0.753,0.958,0.346,0.426,0.218,0.095,0.301,0.906,0.462
13,0.77,0.665,0.173,0.588,0.392,0.422,0.032,0.228,0.22,0.603
6,0.291,0.834,0.508,0.304,0.742,0.536,0.144,0.983,0.15,0.999
1,0.425,0.3,0.633,0.28,0.099,0.966,0.773,0.053,0.096,0.725
4,0.532,0.262,0.291,0.584,0.25,0.025,0.104,0.493,0.878,0.709
12,0.278,0.599,0.671,0.926,0.643,0.973,0.91,0.544,0.753,0.192
0,0.006,0.835,0.784,0.365,0.004,0.276,0.967,0.257,0.859,0.668
4,0.639,0.186,0.729,0.233,0.935,0.715,0.633,0.438,0.038,0.023
8,0.902,0.763,0.936,0.007,0.516,0.671,0.967,0.865,0.967,0.678
9,0.837,0.843,0.136,0.207,0.692,0.281,0.231,0.549,0.257,0.503
12,0.396,0.614,0.42,0.956,0.183,0.632,0.916,0.585,0.351,0.926
9,0.672,0.886,0.261,0.231,0.129,0.76,0.298,0.128,0.687,0.278
11,0.487,0.325,0.115,0.56,0.842,0.531,0.589,0.553,0.049,0.026
14,0.568,0.731,0.598,0.755,0.763,0.55,0.685,0.869,0.396,0.291
7,0.573,0.32,0.303,0.75,0.499,0.879,0.377,0.539,0.685,0.343
9,0.396,0.697,0.244,0.426,0.126,0.333,0.434,0.011,0.65,0.764
5,0.07,0.196,0.642,0.81,0.695,0.374,0.089,0.407,0.014,0.355
2,0.544,0.204,0.689,0.44,0.117,0.894,0.153,0.687,0.935,0.706
2,0.2,0.458,0.191,0.432,0.14,0.023,0.662,0.68,0.146,0.923
12,0.598,0.174,0.029,0.709,0.839,0.142,0.869,0.292,0.446,0.964
11,0.753,0.789,0.515,0.722,0.002,0.157,0.782,0.949,0.319,0.048
13,0.618,0.346,0.256,0.897,0.548,0.282,0.338,0.683,0.003,0.763
3,0.073,0.577,0.394,0.422,0.792,0.384,0.678,0.47,0.256,0.281
10,0.399,0.833,0.201,0.391,0.321,0.938,0.638,0.432,0.098,0.636
15,0.788,0.304,0.928,0.864,0.882,0.882,0.317,0.046,0.62,0.045
13,0.833,0.771,0.703,0.95,0.008,0.252,0.01,0.399,0.627,0.056
5,0.005,0.343,0.186,0.861,0.304,0.698,0.876,0.668,0.778,0.541
14,0.773,0.479,0.908,0.79,0.112,0.977,0.665,0.233,0.987,0.543
13,0.526,0.655,0.621,0.532,0.951,0.179,0.315,0.177,0.825,0.735
8,0.568,0.083,0.828,0.84,0.244,0.881,0.954,0.793,0.825,0.48
0,0.041,0.337,0.824,0.017,0.605,0.69,0.394,0.76,0.926,0.876
14,0.432,0.98,0.237,0.874,0.137,0.63,0.552,0.794,0.114,0.673
13,0.949,0.74,0.024,0.289,0.826,0.704,0.89,0.681,0.804,0.339
2,0.408,0.156,0.883,0.152,0.654,0.992,0.782,0.175,0.076,0.938
3,0.197,0.035,0.286,0.531,0.999,0.826,0.731,0.586,0.926,0.55
3,0.614,0.201,0.442,0.335,0.475,0.359,0.118,0.934,0.244,0.855
4,0.144,0.725,0.548,0.627,0.269,0.226,0.302,0.09,0.912,0.721
5,0.434,0.465,0.069,0.026,0.834,0.108,0.512,0.783,0.141,0.683
11,0.278,0.333,0.05,0.604,0.936,0.87,0.282,0.842,0.137,0.843
11,0.409,0.453,0.853,0.976,0.161,0.052,0.595,0.193,0.959,0.117
11,0.553,0.747,0.797,0.405,0.408,0.152,0.071,0.663,0.247,0.475
1,0.269,0.021,0.455,0.664,0.481,0.687,0.603,0.698,0.108,0.578
15,0.888,0.624,0.142,0.867,0.497,0.702,0.125,0.791,0.695,0.209
10,0.609,0.19,0.067,0.655,0.562,0.977,0.023,0.61,0.286,0.129
7,0.373,0.723,0.443,0.423,0.509,0.191,0.619,0.489,0.376,0.524
11,0.307,0.821,0.426,0.475,0.874,0.585,0.973,0.908,0.437,0.382
5,0.641,0.308,0.369,0.102,0.719,0.212,0.181,0.615,0.343,0.882
1,0.362,0.044,0.303,0.199,0.692,0.962,0.443,0.685,0.509,0.429
2,0.053,0.172,0.939,0.333,0.274,0.894,0.524,0.016,0.025,0.092
10,0.437,0.153,0.053,0.597,0.8,0.164,0.587,0.356,0.085,0.719
3,0.372,0.284,0.391,0.23,0.946,0.224,0.502,0.534,0.994,0.338
8,0.015,0.121,0.955,0.741,0.811,0.006,0.35,0.888,0.44,0.883
1,0.296,0.447,0.415,0.11,0.706,0.821,0.962,0.64,0.663,0.419
5,0.372,0.694,0.634,0.531,0.328,0.949,0.694,0.74,0.967,0.767
15,0.905,0.568,0.992,0.872,0.545,0.931,0.721,0.926,0.531,0.989
4,0.488,0.045,0.914,0.498,0.493,0.66,0.053,0.343,0.559,0.701
0,0.235,0.274,0.53,0.109,0.287,0.781,0.323,0.619,0.415,0.581
4,0.871,0.139,0.754,0.427,0.596,0.627,0.285,0.681,0.51,0.56
11,0.65,0.558,0.199,0.408,0.334,0.586,0.162,0.349,0.014,0.259
8,0.642,0.152,0.87,0.673,0.375,0.461,0.043,0.091,0.629,0.037
2,0.186,0.566,0.019,0.158,0.084,0.851,0.024,0.118,0.425,0.51
11,0.888,0.195,0.119,0.734,0.544,0.293,0.851,0.814,0.262,0.809
2,0.077,0.38,0.052,0.139,0.467,0.027,0.776,0.151,0.122,0.508
1,0.547,0.103,0.386,0.441,0.167,0.744,0.751,0.972,0.836,0.648
14,0.722,0.93,0.419,0.857,0.85,0.623,0.097,0.781,0.064,0.174
12,0.499,0.225,0.964,0.743,0.351,0.307,0.994,0.007,0.67,0.503
10,0.533,0.425,0.25,0.723,0.301,0.488,0.754,0.275,0.433,0.053
10,0.922,0.336,0.974,0.005,0.93,0.312,0.85,0.886,0.085,0.408
13,0.478,0.843,0.845,0.307,0.557,0.678,0.847,0.252,0.343,0.057
7,0.025,0.061,0.968,0.809,0.166,0.174,0.834,0.632,0.687,0.673
9,0.891,0.388,0.458,0.565,0.171,0.098,0.217,0.575,0.348,0.005
3,0.992,0.093,0.833,0.391,0.312,0.263,0.104,0.963,0.773,0.121
14,0.617,0.858,0.383,0.626,0.954,0.329,0.668,0.015,0.821,0.212
0,0.128,0.134,0.32,0.202,0.042,0.341,0.68,0.245,0.029,0.851
14,0.362,0.854,0.495,0.716,0.945,0.875,0.788,0.464,0.602,0.081
14,0.482,0.245,0.968,0.746,0.849,0.694,0.631,0.792,0.135,0.801
15,0.863,0.638,0.223,0.923,0.746,0.897,0.88,0.696,0.469,0.583
9,0.907,0.958,0.308,0.763,0.474,0.854,0.925,0.243,0.169,0.337
15,0.738,0.486,0.923,0.622,0.769,0.951,0.291,0.118,0.61,0.569
2,0.307,0.206,0.674,0.554,0.029,0.837,0.408,0.077,0.705,0.523
14,0.943,0.531,0.175,0.501,0.989,0.142,0.204,0.914,0.048,0.206
7,0.151,0.974,0.265,0.434,0.625,0.603,0.835,0.481,0.286,0.045
7,0.93,0.247,0.215,0.303,0.477,0.068,0.825,0.491,0.753,0.279
13,0.549,0.935,0.575,0.802,0.19,0.564,0.204,0.727,0.97,0.076
3,0.026,0.034,0.2,0.744,0.505,0.864,0.051,0.903,0.286,0.768
0,0.018,0.99,0.794,0.135,0.46,0.515,0.204,0.91,0.11,0.912
10,0.458,0.461,0.74,0.733,0.226,0.4,0.979,0.203,0.004,0.868
9,0.16,0.879,0.56,0.941,0.327,0.559,0.391,0.715,0.628,0.994
13,0.411,0.502,0.981,0.469,0.521,0.573,0.068,0.067,0.392,0.774
14,0.553,0.532,0.977,0.737,0.158,0.893,0.286,0.788,0.912,0.632
2,0.368,0.046,0.542,0.405,0.877,0.33,0.818,0.893,0.422,0.479
11,0.464,0.984,0.368,0.295,0.824,0.019,0.577,0.144,0.126,0.447
15,0.61,0.946,0.187,0.949,0.192,0.424,0.8,0.085,0.165,0.102
4,0.088,0.323,0.817,0.945,0.017,0.026,0.688,0.846,0.552,0.18
13,0.513,0.498,0.954,0.488,0.487,0.413,0.534,0.558,0.11,0.682
11,0.258,0.394,0.015,0.809,0.326,0.846,0.368,0.379,0.221,0.869
10,0.814,0.877,0.609,0.755,0.048,0.422,0.57,0.568,0.443,0.944
12,0.748,0.949,0.702,0.836,0.347,0.434,0.498,0.321,0.65,0.711
10,0.349,0.68,0.225,0.594,0.803,0.139,0.936,0.933,0.366,0.786
13,0.927,0.582,0.752,0.792,0.345,0.635,0.335,0.516,0.655,0.069
10,0.503,0.247,0.803,0.961,0.478,0.621,0.252,0.487,0.211,0.079
9,0.484,0.973,0.468,0.604,0.146,0.253,0.822,0.433,0.688,0.448
0,0.198,0.041,0.19,0.084,0.714,0.729,0.236,0.84,0.376,0.641
9,0.601,0.502,0.42,0.574,0.417,0.229,0.368,0.301,0.64,0.18
4,0.526,0.329,0.969,0.051,0.51,0.492,0.164,0.608,0.819,0.142
5,0.368,0.198,0.487,0.882,0.466,0.323,0.41,0.076,0.069,0.828
14,0.288,0.964,0.144,0.802,0.766,0.218,0.914,0.104,0.365,0.382
15,0.638,0.88,0.884,0.97,0.818,0.888,0.58,0.773,0.295,0.668
2,0.357,0.095,0.034,0.063,0.787,0.733,0.854,0.499,0.27,0.181
9,0.181,0.385,0.984,0.765,0.084,0.309,0.581,0.18,0.868,0.418
0,0.322,0.108,0.469,0.08,0.592,0.671,0.18,0.704,0.844,0.627
3,0.022,0.697,0.331,0.807,0.013,0.069,0.239,0.936,0.186,0.674
15,0.718,0.709,0.025,0.859,0.985,0.717,0.008,0.481,0.399,0.143
11,0.71,0.338,0.731,0.626,0.607,0.534,0.326,0.351,0.408,0.74
12,0.16,0.97,0.875,0.672,0.844,0.81,0.76,0.431,0.007,0.966
8,0.786,0.251,0.06,0.368,0.214,0.87,0.305,0.147,0.509,0.335
15,0.567,0.684,0.798,0.735,0.868,0.357,0.234,0.832,0.682,0.256
11,0.732,0.619,0.229,0.281,0.703,0.907,0.059,0.31,0.167,0.032
13,0.714,0.709,0.156,0.529,0.408,0.611,0.899,0.819,0.153,0.222
14,0.398,0.739,0.423,0.712,0.508,0.268,0.761,0.336,0.668,0.057
8,0.023,0.065,0.021,0.862,0.52,0.005,0.29,0.706,0.593,0.229
1,0.856,0.183,0.341,0.231,0.09,0.169,0.536,0.486,0.17,0.329
15,0.466,0.783,0.992,0.839,0.343,0.862,0.768,0.186,0.882,0.481
14,0.425,0.692,0.728,0.884,0.75,0.615,0.921,0.566,0.271,0.397
4,0.107,0.88,0.181,0.148,0.949,0.228,0.665,0.851,0.421,0.895
4,0.382,0.386,0.715,0.327,0.436,0.383,0.057,0.071,0.097,0.221
4,0.382,0.071,0.859,0.631,0.451,0.709,0.907,0.095,0.776,0.255
0,0.207,0.079,0.449,0.007,0.21,0.682,0.868,0.041,0.487,0.811
1,0.336,0.342,0.123,0.013,0.196,0.708,0.164,0.558,0.124,0.746
12,0.945,0.177,0.943,0.838,0.059,0.004,0.175,0.055,0.884,0.326
3,0.938,0.121,0.013,0.064,0.379,0.939,0.804,0.272,0.827,0.714
10,0.67,0.833,0.332,0.694,0.076,0.132,0.11,0.581,0.065,0.294
12,0.869,0.751,0.816,0.375,0.909,0.121,0.85,0.897,0.096,0.209
0,0.349,0.134,0.248,0.322,0.025,0.409,0.835,0.579,0.423,0.757
15,0.875,0.535,0.754,0.868,0.996,0.002,0.006,0.838,0.048,0.223
8,0.172,0.617,0.976,0.848,0.094,0.591,0.302,0.801,0.839,0.733
9,0.882,0.942,0.309,0.893,0.455,0.829,0.77,0.546,0.597,0.59
1,0.178,0.789,0.727,0.04,0.155,0.4,0.983,0.887,0.053,0.311
6,0.018,0.857,0.804,0.972,0.366,0.732,0.189,0.882,0.432,0.133
12,0.51,0.31,0.019,0.997,0.09,0.211,0.965,0.132,0.55,0.435
3,0.602,0.222,0.471,0.446,0.466,0.772,0.35,0.409,0.027,0.654
15,0.657,0.324,0.181,0.882,0.795,0.811,0.063,0.293,0.122,0.051
11,0.948,0.348,0.165,0.019,0.934,0.494,0.939,0.88,0.459,0.838
6,0.41,0.253,0.629,0.646,0.749,0.235,0.99,0.918,0.814,0.548
4,0.114,0.151,0.734,0.898,0.021,0.564,0.993,0.115,0.777,0.766
2,0.811,0.185,0.928,0.05,0.225,0.827,0.493,0.527,0.335,0.296
6,0.903,0.972,0.839,0.761,0.211,0.451,0.618,0.274,0.313,0.202
10,0.227,0.74,0.314,0.684,0.985,0.389,0.529,0.281,0.707,0.309
7,0.127,0.24,0.856,0.847,0.209,0.0,0.73,0.939,0.315,0.97
1,0.879,0.189,0.316,0.129,0.169,0.526,0.71,0.352,0.722,0.139
5,0.477,0.497,0.803,0.239,0.289,0.753,0.004,0.244,0.679,0.873
4,0.584,0.411,0.377,0.205,0.681,0.418,0.947,0.791,0.369,0.088
9,0.577,0.891,0.483,0.154,0.806,0.656,0.31,0.52,0.648,0.771
10,0.167,0.656,0.988,0.717,0.239,0.883,0.154,0.44,0.378,0.094
10,0.919,0.493,0.328,0.559,0.182,0.545,0.443,0.625,0.514,0.932
13,0.764,0.521,0.859,0.578,0.411,0.942,0.487,0.92,0.274,0.293
3,0.1,0.122,0.763,0.796,0.177,0.203,0.737,0.759,0.102,0.763
15,0.783,0.791,0.01,0.608,0.428,0.182,0.036,0.908,0.843,0.363
11,0.469,0.746,0.616,0.628,0.07,0.673,0.637,0.563,0.906,0.897
15,0.73,0.539,0.824,0.97,0.954,0.502,0.208,0.402,0.606,0.937
3,0.206,0.958,0.501,0.042,0.65,0.768,0.683,0.573,0.941,0.761
8,0.1,0.494,0.316,0.946,0.839,0.477,0.629,0.525,0.739,0.845
12,0.302,0.989,0.852,0.569,0.283,0.563,0.111,0.383,0.294,0.062
5,0.729,0.781,0.585,0.082,0.398,0.227,0.172,0.255,0.867,0.819
1,0.874,0.022,0.91,0.194,0.446,0.82,0.224,0.596,0.434,0.869
11,0.96,0.881,0.136,0.869,0.143,0.397,0.91,0.831,0.327,0.04
3,0.299,0.532,0.764,0.124,0.41,0.109,0.568,0.523,0.913,0.11
15,0.279,0.9,0.797,0.924,0.907,0.157,0.802,0.524,0.008,0.29
11,0.101,0.554,0.905,0.957,0.387,0.545,0.627,0.635,0.336,0.923
13,0.709,0.462,0.065,0.264,0.836,0.924,0.22,0.193,0.016,0.772
3,0.113,0.876,0.909,0.281,0.455,0.038,0.069,0.359,0.571,0.734
14,0.864,0.322,0.149,0.772,0.95,0.023,0.662,0.923,0.133,0.268
2,0.886,0.807,0.306,0.089,0.019,0.88,0.508,0.313,0.77,0.119
3,0.241,0.17,0.864,0.566,0.232,0.362,0.561,0.075,0.209,0.125
7,0.229,0.624,0.772,0.704,0.315,0.783,0.329,0.196,0.829,0.589
9,0.858,0.456,0.096,0.304,0.116,0.428,0.45,0.711,0.147,0.856
0,0.556,0.074,0.809,0.343,0.007,0.945,0.879,0.952,0.374,0.339
13,0.765,0.187,0.937,0.548,0.907,0.732,0.072,0.096,0.651,0.616
14,0.941,0.384,0.633,0.729,0.879,0.186,0.717,0.218,0.411,0.932
14,0.36,0.611,0.376,0.822,0.751,0.861,0.866,0.341,0.909,0.776
13,0.734,0.883,0.307,0.793,0.803,0.068,0.115,0.488,0.453,0.637
14,0.904,0.23,0.831,0.766,0.907,0.28,0.267,0.097,0.555,0.408
1,0.497,0.082,0.137,0.335,0.264,0.887,0.505,0.623,0.077,0.279
8,0.691,0.74,0.217,0.139,0.451,0.314,0.846,0.169,0.692,0.221
15,0.718,0.682,0.008,0.718,0.858,0.578,0.201,0.575,0.178,0.767
6,0.447,0.219,0.386,0.674,0.483,0.141,0.53,0.039,0.511,0.257
4,0.817,0.837,0.425,0.197,0.31,0.698,0.81,0.493,0.958,0.419
11,0.585,0.641,0.341,0.498,0.421,0.866,0.155,0.362,0.855,0.866
1,0.001,0.745,0.574,0.431,0.532,0.724,0.489,0.954,0.964,0.243
14,0.681,0.603,0.397,0.894,0.557,0.275,0.852,0.627,0.173,0.616
12,0.903,0.522,0.348,0.538,0.464,0.63,0.934,0.847,0.141,0.165
6,0.223,0.12,0.917,0.916,0.18,0.319,0.162,0.705,0.403,0.514
10,0.072,0.796,0.641,0.891,0.975,0.279,0.241,0.677,0.197,0.918
15,0.613,0.769,0.631,0.982,0.881,0.845,0.059,0.775,0.843,0.317
15,0.94,0.643,0.169,0.959,0.727,0.776,0.611,0.066,0.841,0.861
15,0.791,0.921,0.995,0.948,0.828,0.39,0.431,0.144,0.221,0.816
1,0.023,0.902,0.892,0.275,0.052,0.981,0.438,0.704,0.703,0.681
14,0.561,0.63,0.575,0.971,0.474,0.803,0.41,0.1,0.196,0.13
10,0.902,0.38,0.302,0.236,0.987,0.96,0.293,0.715,0.484,0.068
0,0.177,0.057,0.366,0.024,0.567,0.816,0.658,0.235,0.33,0.332
5,0.256,0.794,0.782,0.527,0.136,0.744,0.051,0.71,0.951,0.239
8,0.178,0.175,0.077,0.676,0.656,0.222,0.315,0.885,0.527,0.751
4,0.125,0.252,0.169,0.466,0.599,0.285,0.064,0.822,0.918,0.004
6,0.571,0.464,0.893,0.045,0.138,0.625,0.504,0.267,0.696,0.995
7,0.967,0.942,0.776,0.952,0.193,0.624,0.286,0.972,0.438,0.451
4,0.61,0.869,0.386,0.008,0.058,0.661,0.995,0.636,0.373,0.471
1,0.821,0.169,0.189,0.126,0.169,0.598,0.771,0.817,0.826,0.558
5,0.876,0.963,0.703,0.308,0.43,0.117,0.809,0.436,0.232,0.285
12,0.847,0.376,0.023,0.151,0.618,0.833,0.85,0.358,0.726,0.562
8,0.786,0.714,0.402,0.335,0.283,0.332,0.708,0.812,0.041,0.678
9,0.394,0.169,0.41,0.696,0.936,0.152,0.773,0.941,0.956,0.853
0,0.196,0.129,0.304,0.325,0.586,0.451,0.451,0.87,0.858,0.43
6,0.109,0.327,0.807,0.871,0.328,0.954,0.54,0.461,0.807,0.408
15,0.865,0.451,0.436,0.896,0.894,0.875,0.338,0.134,0.949,0.234
15,0.972,0.651,0.177,0.794,0.74,0.568,0.401,0.057,0.004,0.171
2,0.4,0.336,0.343,0.4,0.538,0.366,0.93,0.929,0.425,0.099
3,0.988,0.844,0.23,0.091,0.583,0.115,0.029,0.549,0.799,0.092
0,0.733,0.142,0.874,0.038,0.035,0.588,0.695,0.239,0.476,0.649
1,0.314,0.283,0.35,0.253,0.343,0.604,0.031,0.526,0.644,0.718
15,0.828,0.911,0.976,0.602,0.909,0.767,0.557,0.179,0.701,0.344
4,0.68,0.139,0.014,0.486,0.292,0.529,0.162,0.279,0.018,0.185
14,0.951,0.801,0.215,0.906,0.901,0.175,0.063,0.681,0.665,0.193
7,0.137,0.814,0.884,0.498,0.317,0.583,0.553,0.302,0.677,0.473
7,0.826,0.625,0.363,0.113,0.354,0.884,0.011,0.035,0.863,0.79
9,0.909,0.185,0.769,0.763,0.387,0.543,0.576,0.266,0.154,0.533
13,0.601,0.633,0.211,0.979,0.006,0.835,0.885,0.159,0.633,0.19
2,0.178,0.488,0.306,0.23,0.537,0.308,0.625,0.961,0.817,0.169
12,0.906,0.559,0.609,0.649,0.555,0.411,0.671,0.514,0.993,0.309
13,0.979,0.42,0.729,0.53,0.878,0.425,0.168,0.976,0.837,0.423
8,0.666,0.294,0.653,0.759,0.19,0.709,0.782,0.042,0.613,0.398
0,0.625,0.062,0.303,0.018,0.057,0.342,0.798,0.557,0.374,0.233
6,0.237,0.571,0.639,0.534,0.444,0.559,0.383,0.912,0.787,0.368
3,0.115,0.083,0.346,0.792,0.458,0.222,0.117,0.737,0.618,0.485
1,0.445,0.286,0.244,0.085,0.203,0.302,0.578,0.3,0.731,0.698
1,0.511,0.073,0.843,0.006,0.929,0.177,0.474,0.168,0.014,0.336
0,0.03,0.506,0.671,0.478,0.28,0.352,0.382,0.851,0.834,0.253
1,0.598,0.558,0.419,0.024,0.011,0.353,0.511,0.453,0.79,0.3
6,0.965,0.904,0.239,0.328,0.773,0.962,0.758,0.826,0.882,0.56
9,0.819,0.025,0.971,0.775,0.307,0.251,0.124,0.679,0.124,0.476
3,0.216,0.764,0.847,0.037,0.478,0.231,0.926,0.806,0.946,0.296
11,0.741,0.748,0.499,0.389,0.427,0.947,0.581,0.336,0.718,0.826
2,0.005,0.197,0.686,0.479,0.779,0.998,0.979,0.194,0.223,0.024
1,0.18,0.007,0.422,0.483,0.87,0.496,0.061,0.914,0.802,0.039
2,0.33,0.169,0.42,0.347,0.783,0.875,0.846,0.162,0.866,0.137
11,0.914,0.234,0.673,0.885,0.472,0.104,0.2,0.216,0.349,0.783
11,0.612,0.246,0.651,0.996,0.874,0.631,0.534,0.028,0.059,0.636
7,0.792,0.367,0.077,0.088,0.129,0.462,0.925,0.27,0.914,0.557
9,0.683,0.626,0.382,0.366,0.445,0.384,0.782,0.906,0.077,0.419
15,0.836,0.814,0.599,0.933,0.842,0.319,0.024,0.317,0.571,0.585
15,0.907,0.583,0.712,0.856,0.52,0.727,0.746,0.439,0.425,0.061
2,0.561,0.122,0.622,0.081,0.735,0.353,0.895,0.526,0.5,0.753
5,0.135,0.714,0.817,0.187,0.901,0.366,0.505,0.257,0.388,0.566
15,0.738,0.661,0.185,0.945,0.565,0.98,0.525,0.244,0.993,0.401
5,0.327,0.59,0.122,0.331,0.405,0.711,0.4,0.886,0.313,0.129
13,0.713,0.656,0.157,0.269,0.844,0.368,0.743,0.354,0.25,0.557
8,0.715,0.319,0.181,0.466,0.417,0.212,0.78,0.29,0.272,0.146
14,0.489,0.989,0.852,0.798,0.038,0.753,0.559,0.798,0.352,0.916
5,0.12,0.199,0.312,0.822,0.551,0.74,0.259,0.655,0.114,0.669
5,0.281,0.528,0.639,0.46,0.401,0.199,0.867,0.419,0.411,0.604
2,0.774,0.025,0.809,0.249,0.57,0.032,0.868,0.386,0.883,0.603
6,0.142,0.835,0.589,0.438,0.964,0.676,0.353,0.934,0.754,0.902
12,0.54,0.338,0.533,0.843,0.696,0.769,0.7,0.284,0.842,0.093
0,0.06,0.639,0.713,0.217,0.625,0.297,0.62,0.011,0.011,0.367
1,0.207,0.532,0.341,0.123,0.373,0.226,0.226,0.479,0.554,0.062
3,0.944,0.075,0.191,0.43,0.018,0.277,0.076,0.934,0.473,0.285
15,0.509,0.942,0.885,0.894,0.996,0.461,0.446,0.009,0.499,0.137
9,0.271,0.95,0.084,0.045,0.839,0.858,0.694,0.859,0.554,0.942
8,0.495,0.417,0.142,0.313,0.948,0.407,0.963,0.639,0.365,0.815
12,0.366,0.475,0.494,0.968,0.921,0.023,0.162,0.574,0.243,0.751
4,0.959,0.955,0.377,0.518,0.62,0.624,0.583,0.454,0.986,0.385
3,0.907,0.149,0.391,0.475,0.165,0.777,0.138,0.758,0.531,0.005
0,0.276,0.279,0.72,0.07,0.087,0.094,0.62,0.686,0.262,0.461
14,0.612,0.432,0.641,0.892,0.902,0.704,0.233,0.7,0.093,0.295
12,0.67,0.367,0.949,0.275,0.975,0.501,0.561,0.063,0.101,0.452
2,0.953,0.029,0.242,0.483,0.706,0.728,0.886,0.657,0.843,0.677
5,0.525,0.245,0.661,0.778,0.191,0.416,0.267,0.588,0.956,0.979
2,0.585,0.229,0.961,0.06,0.211,0.881,0.849,0.868,0.964,0.912
13,0.867,0.918,0.409,0.879,0.961,0.79,0.776,0.696,0.486,0.257
5,0.275,0.314,0.213,0.756,0.533,0.579,0.646,0.967,0.311,0.2
1,0.068,0.841,0.259,0.096,0.751,0.923,0.487,0.923,0.777,0.433
7,0.839,0.262,0.124,0.082,0.861,0.984,0.521,0.663,0.823,0.994
8,0.766,0.858,0.768,0.032,0.778,0.958,0.496,0.08,0.766,0.038
2,0.07,0.883,0.255,0.377,0.179,0.352,0.176,0.958,0.322,0.039
0,0.056,0.162,0.646,0.518,0.209,0.618,0.789,0.165,0.688,0.102
8,0.214,0.505,0.922,0.409,0.885,0.058,0.786,0.6,0.92,0.866
11,0.936,0.33,0.357,0.633,0.178,0.468,0.919,0.32,0.375,0.038
1,0.468,0.141,0.908,0.145,0.472,0.604,0.568,0.477,0.394,0.899
0,0.999,0.045,0.658,0.095,0.514,0.42,0.221,0.82,0.366,0.377
9,0.622,0.106,0.584,0.885,0.938,0.134,0.272,0.081,0.813,0.502
12,0.177,0.302,0.093,0.788,0.997,0.806,0.271,0.431,0.949,0.08
8,0.762,0.994,0.102,0.405,0.347,0.982,0.102,0.939,0.517,0.843
5,0.974,0.82,0.846,0.419,0.005,0.874,0.202,0.528,0.518,0.655
1,0.771,0.052,0.495,0.34,0.429,0.629,0.399,0.242,0.425,0.544
0,0.853,0.078,0.587,0.086,0.608,0.083,0.869,0.323,0.525,0.321
